62247 2
58131 -13.266638 -0.853493
7681 -13.255540 -1.083390
40219 -13.162498 -1.404723
60173 -13.695323 -1.859595
50725 -13.148298 -1.249675
8324 -13.197757 -1.937585
7053 -13.391983 -1.824071
9575 -13.315390 -0.743136
14148 -13.224837 -0.958343
22335 -3.766633 -3.776977
21324 -13.094355 -1.006219
22257 -13.363011 -1.795859
23024 -13.502465 -1.705178
24269 -12.608263 -1.744450
31809 -13.667776 -0.448065
33381 -13.541710 -1.641440
33795 -13.303020 -0.899300
186 -11.183366 6.041529
37828 -0.141341 3.995494
41668 -12.314010 5.149133
187 -1.334920 -6.550715
2902 -1.343166 -6.473723
720 -1.470009 -6.753899
7684 -1.568270 -6.716015
7882 2.367958 1.391785
9050 -1.589280 -6.807674
7712 -1.819336 -6.613972
1132 0.631629 -4.031801
20292 -1.729989 -6.698812
40913 -1.362134 -6.927808
10407 0.639293 -5.473275
36116 -1.194849 -6.462523
2874 -0.213517 -8.506652
188 0.042480 1.656427
23797 0.099581 1.457304
189 -15.910669 -1.117140
56017 -16.109846 -0.940470
59550 -15.894716 1.724687
190 3.982673 -3.358490
55722 3.805522 -3.202222
61979 4.714526 -2.776695
17360 10.989714 1.044315
30325 4.079287 -3.371771
47592 4.006250 -3.298665
192 11.676592 3.510400
51659 12.811550 2.267011
55327 11.756632 3.604794
57371 11.661491 3.414568
19824 16.334978 9.026744
14119 11.849463 3.682325
15345 11.727205 3.480470
16043 12.208841 1.954997
57438 11.827453 3.554069
32318 11.859262 3.436215
26347 11.855980 3.590750
193 -3.419518 5.824629
9875 -3.362836 5.861039
13562 -3.295362 5.754133
194 -0.741036 -0.951304
45506 2.157634 3.951153
58558 -0.842839 -1.201974
10142 -0.693697 -1.238596
197 -13.033564 7.578869
6832 -13.050224 7.564046
13724 -13.308989 7.336881
30899 0.569937 -15.051104
199 -19.259439 -3.569610
56675 -17.223055 0.372827
1982 -15.233590 0.841004
30895 -14.843728 1.076650
201 4.253706 4.507980
59533 4.402064 4.377255
15859 4.729446 4.513549
27073 3.024904 4.310299
31674 3.992030 4.560973
202 -13.170544 -6.964498
46970 -12.910654 -6.492492
39101 -13.010525 -7.606378
203 -6.633496 12.070823
204 -18.086695 -3.100665
29006 -17.815506 -3.006892
47137 -15.925856 1.855948
47996 -9.111485 -2.463263
60406 -18.110289 -2.760006
556 -18.190184 -2.955244
457 -17.249264 -2.852091
2696 -18.190971 -3.119588
26784 -0.529316 -8.124945
38166 -1.377916 -8.660654
31556 -18.525215 -1.390630
205 19.395176 -1.750415
11443 18.980873 -1.668310
17093 15.805916 9.176898
17645 19.233183 -1.396388
206 18.302103 1.548684
36771 18.357107 1.364581
50376 18.268057 1.591172
38802 18.293076 1.574946
46548 18.269369 1.625559
59990 14.073452 1.201911
51726 18.310160 1.366841
570 18.402319 1.577640
778 18.408209 1.794569
5411 18.332989 1.678305
18312 15.193552 0.853400
46208 18.407055 1.521627
17838 13.437208 1.741927
21916 18.758272 2.441745
28337 18.331051 2.003629
30573 18.329748 1.471705
30596 18.459145 1.703780
46099 18.319334 1.558111
208 16.464590 5.331897
58056 16.410318 5.450642
58657 16.474297 5.417076
210 -1.105974 -5.257188
13948 -1.355447 -4.470253
9899 -1.452832 -7.130052
7412 -1.098000 -4.128607
212 -1.771268 0.750124
54049 0.284298 -5.461099
27907 -1.731491 0.536920
217 -5.802571 -13.255134
25210 -5.701712 -13.309344
222 8.261014 0.271867
12161 -1.566324 3.519263
14192 9.055213 1.010915
32968 1.237815 4.771987
223 -6.372279 12.234416
57106 -6.394808 12.188438
16859 -1.505611 -3.722054
1158 -6.415032 11.967726
28753 -6.535931 12.061677
224 21.538794 -3.412130
23342 21.894009 -3.060542
57098 21.732271 -3.070219
225 19.011116 11.557425
227 16.431114 7.280581
61008 16.481255 7.331679
16271 17.447468 6.733887
35799 15.984246 7.071851
26747 19.127222 5.926792
228 -6.512836 12.002841
37583 -6.493622 11.709744
229 -5.107636 8.055100
14162 17.894987 6.517025
231 -1.135473 -1.779133
57005 -1.193910 -1.429759
232 17.350554 3.672092
54950 17.153316 3.810730
233 25.828613 5.889454
59122 25.707693 6.227485
7018 25.530735 6.387630
14598 25.629719 6.110145
16473 25.606480 6.065135
26489 25.684994 6.035305
38023 25.725458 6.177150
234 -12.785871 -9.181484
49567 -13.613981 -9.439905
50913 -10.763915 -10.754163
55876 -13.092083 -9.428271
44905 -13.332704 -9.916446
57478 -13.291275 -9.330434
8064 -10.769425 -11.507388
17471 -13.177589 -9.470787
18074 -13.223825 -9.274878
14650 -12.878840 -8.333800
14987 -11.039777 -10.786495
26260 -10.379298 -10.257029
22179 -14.827904 -7.736689
38450 -13.269397 -9.488379
30405 -10.814921 -10.683265
33501 -19.902122 0.430388
46261 -10.990348 -10.543182
235 -5.632570 -14.888163
15922 -5.536054 -14.946482
238 -7.489109 5.343380
2725 -7.440283 5.232090
11261 -7.502579 5.335104
25891 -7.427020 5.292237
239 -5.584278 -7.017238
15144 -5.312180 -6.944167
50676 -5.918719 -7.612284
62060 -5.599273 -7.073452
659 -5.631734 -7.196099
13110 9.838453 5.839905
16493 3.165577 0.607782
23804 -6.157384 -7.874271
23547 -6.095247 -7.733168
28128 7.475551 0.099792
28553 9.640528 1.721811
38132 3.803810 -4.146522
240 6.789152 8.340903
39963 6.610592 8.404516
34080 14.050476 -1.984452
58047 10.799923 -1.834210
28689 12.494011 6.903089
47991 14.393314 -1.590925
35009 17.674444 4.700520
241 -16.036640 -1.991886
58271 -15.780060 -1.569436
21699 -15.802698 -2.053086
243 2.012661 -1.554307
12311 2.514860 2.846937
244 -7.132107 -0.663140
245 19.720070 10.263925
13054 19.589830 10.409849
20119 20.676832 4.567325
17849 19.714281 10.104400
246 17.770412 6.263342
24042 17.248034 6.780216
249 -0.915853 6.873454
53753 -1.380334 7.363791
250 17.745556 -10.325697
41416 17.712038 -10.288161
251 16.121752 -5.032719
58031 16.162487 -5.395091
54032 15.294866 -5.199934
44961 15.920968 -5.059914
1155 15.561881 -5.523052
14853 15.848956 -5.389682
23003 11.771348 0.915677
26197 17.062574 -4.347908
253 17.845581 4.659367
57053 19.203676 4.612155
37806 17.422262 9.018351
254 11.257818 -4.274579
33870 10.839376 -5.197841
45894 14.230626 0.245085
2264 14.611932 -0.443802
2863 14.571507 1.003603
15685 12.987206 -0.904001
20560 1.110789 -0.826584
17066 16.736589 -4.660654
27460 11.478685 -3.993530
22370 11.809288 0.269608
36428 10.719118 -4.939293
57392 14.338058 -0.383443
45931 10.380626 -3.145570
255 21.167398 1.872398
256 -12.534027 -14.927570
