108354 2
127465 -13.238270 2.618064
153663 -13.859949 2.597752
121200 7.272856 -1.847266
66006 -14.155810 1.989707
55054 -14.030757 2.124091
804 -14.015905 2.373593
161542 4.225419 -14.536589
152449 4.200444 -14.540942
47759 4.314645 -14.434909
58015 1.469352 -4.347159
83928 4.139907 -5.213470
161541 6.250711 -24.614281
39646 6.245649 -24.612068
161540 4.645916 23.565893
98650 -12.653039 -15.597903
161539 -26.382643 13.275476
21610 -26.491261 13.332088
161538 -9.408504 -0.015837
99881 5.536425 -3.886606
36050 -3.018048 -13.409140
10288 -9.154347 0.063997
30140 -9.375314 0.395958
23300 -9.082706 0.120030
161537 23.810814 0.518528
40968 23.609608 0.609345
161534 -9.076910 19.681580
122756 -8.934025 19.712219
135109 -8.952309 19.721872
81314 -9.081855 19.629370
161532 -2.331393 13.778331
107593 -5.387082 16.108500
3900 -2.104262 13.333325
54959 -1.644484 13.620811
75686 -2.014127 13.844674
53071 -2.187027 13.461982
37649 -2.611093 14.190089
24548 -2.012146 14.089682
39509 -5.729435 16.437687
70372 -2.377582 14.417649
91677 -2.272858 13.658974
161531 11.669260 -12.553362
124523 11.595758 -12.677761
84285 8.533741 -1.629255
65252 8.522690 -1.263337
161528 18.229626 39.523582
60199 18.229300 39.523163
140692 18.229586 39.523350
161527 -15.299469 7.008426
139113 -15.185466 6.935432
811 -15.525028 7.079739
161526 -11.639615 15.994882
47322 -11.567083 16.062925
24367 -0.800475 20.537310
161525 0.361100 0.640732
49562 -0.056654 0.630403
134986 11.197294 -4.317976
161521 3.203298 15.354124
4531 6.950468 13.825164
109118 3.006869 15.171107
17892 2.753675 15.557077
1565 2.773118 15.208946
39641 3.044091 15.741350
118801 6.393641 15.214582
161517 10.151752 -10.072745
6971 10.200006 -9.799619
161514 -2.038762 -12.559736
119333 -2.237991 -12.688832
4893 -3.263649 -14.573430
83854 -1.829199 -12.491044
161513 23.831182 16.856804
5563 23.834621 16.860546
161511 13.382478 1.031219
35099 0.318489 -4.983314
47175 13.524892 1.035686
161510 4.881226 -2.052024
11822 4.748747 -1.847417
67619 4.890184 -1.902647
116102 4.671968 -1.959366
2992 6.843998 -3.571515
161508 -25.320253 9.946640
65655 -25.260426 9.880294
9571 -25.666937 10.314013
161505 8.674848 -16.077974
39985 10.611547 -16.936701
